year_month,depth,Temperature,Salinity,Oxygen_1,CO2,Alkalinity,NO3_plus_NO2,NO2,PO4,Silicate,POC,PON,TOC,Bact_Enum,year,CO2_rolling,Alkalinity_rolling
1992-05-01,681.9277777777778,15.66284722222222,36.023270833333335,228.4020833333333,2068.016666666667,2392.4083333333333,8.326666666666666,0.008958333333333334,0.575,7.776458333333333,19.15,4.015,54.4,4.441666666666666,1992,,
1992-06-01,971.2041666666668,13.186854166666665,35.74105882352941,227.68888888888887,2069.4666666666667,2391.0,11.508000000000001,0.01911764705882353,0.7096774193548387,7.213928571428572,12.0565,2.2399999999999998,54.4,3.2444444444444445,1992,,
1992-07-01,968.80625,13.6256875,35.63452941176471,225.76857142857142,2065.5750000000003,2390.9333333333334,11.952285714285713,0.004,0.7894285714285714,11.609428571428571,12.844444444444443,1.9472222222222224,54.4,3.217647058823529,1992,,
1992-08-01,970.1937499999999,14.870895833333334,35.76708571428571,222.63055555555556,2054.6666666666665,2394.836363636364,10.657575757575756,0.0015151515151515152,0.7321875,11.43,13.78842105263158,2.272105263157895,54.4,3.223529411764706,1992,,
1992-09-01,972.7395833333334,14.337729166666668,35.706399999999995,222.21142857142857,2054.7363636363634,2384.3636363636365,10.204375,0.01916666666666667,0.7090322580645162,10.507941176470588,14.8155,2.8185000000000002,54.4,3.7777777777777777,1992,,
1992-10-01,959.8312500000001,14.187833333333332,35.67230555555555,219.92222222222222,2057.108333333333,2387.7636363636366,11.1871875,0.0065,0.723125,11.442777777777778,10.491499999999998,2.2030000000000003,54.4,2.5823529411764703,1992,,
1992-11-01,478.52314814814815,18.56737962962963,35.72427777777778,221.04444444444445,2056.983333333333,2390.2,10.760882352941177,0.0065,0.7212121212121212,10.918888888888889,12.9275,2.205,54.4,3.111764705882353,1992,,
1992-12-01,798.0383333333334,15.080416666666668,35.73533333333334,222.94,2057.4,2393.725,11.961388888888889,0.0,0.7691666666666667,10.861944444444445,11.819473684210527,1.791578947368421,54.4,2.5944444444444446,1992,2061.219696969697,2390.6488005050505
1993-01-01,600.9951219512195,16.15479268292683,35.96277777777778,220.81276595744683,2054.8333333333335,2393.1333333333337,9.537083333333333,0.0010833333333333333,0.5808510638297872,8.523958333333333,11.9509375,2.2434375,54.4,3.0266666666666664,1993,2061.100946969697,2390.221275252525
1993-02-01,425.44920634920635,17.153960317460317,35.952062500000004,222.93478260869566,2061.108333333333,2393.7478260869566,8.415217391304349,0.018468085106382977,0.556595744680851,8.393333333333333,15.704827586206896,3.49448275862069,54.4,3.944827586206897,1993,2061.0544191919194,2391.5363718708827
1993-03-01,390.7104895104895,17.125671328671327,35.99215217391304,224.33478260869563,2069.420833333333,2393.2875,8.522765957446808,0.023446808510638295,0.5076086956521738,7.44804347826087,18.166451612903224,3.717741935483871,54.4,3.6333333333333333,1993,2061.626988636364,2391.635330204216
